place_id	name	city	pathy	qualification	locality	reason	confidence
11971994768604868257	Navjyoti Sex Clinic	Ahmedabad	Thin	None found	Saraspur (Veekrati Road), Ahmedabad	"Generic unnamed ""sex clinic"" appearing only as a Mappls/Justdial map listing with no website, no named provider, and no verifiable medical degree."	medium
1390677642073887316	Sexologist HIV PEP STD	Bangalore	Allopathic	MBBS (VIMS Bellary, 2006), Fellowship in Sexual Medicine	Nagarbhavi / Ullal Upanagara, Bangalore	"Clinic ""Sexologist HIV PEP STD"" is run by Dr. Anand P R, who holds a registrable MBBS degree, making it Allopathic."	high
3940669953603297557	Nagmata sexual clinic	Chennai	Thin	None found	KK Nagar, Chennai	"No doctor name or medical degree is findable on any listing; Justdial shows it as ""Nagmatha Clinic (Closed Down)"" — a generic, unverifiable sex clinic."	medium
13297993290660882263	Baari dispensary	Coimbatore	Thin	None found	Kalapatti Pirivu, Coimbatore	"Only a bare Justdial listing exists for ""Baari Dispensary"" in Kalapatti Pirivu with no findable doctor name, no medical degree, and no confirmation of sexual-health services; unverifiable thin competitor."	medium
3578192774732132628	Dr KA Yadgir Sexologist since 1980	Hubli	Ayurvedic	"No registrable degree published; listed as ""Dr S M Yadagiri / Dr Yadgir, Sexologist since 1985"" — traditional Ayurvedic-style sexology practice"	JC Nagar (J C Road), Hubli	"Named findable doctor (Dr S M Yadagiri, JC Nagar Hubli) with a decades-old ""sexologist since 1985"" family clinic and no allopathic degree — fits the region's traditional Ayurvedic/Unani sexology pattern."	low
479152443239110577	DR.ALI'S SEXUAL HEALTH CLINIC	Hyderabad	Unani	"Not published (doctor referred to only as ""Dr Ali""; no degree listed on any directory)"	Chilkalguda, Padmarao Nagar / Mylargadda, Secunderabad, Hyderabad 500061	Eponymous standalone male-sexual-problems clinic in an old-city Muslim locality (Chilkalguda), 9am-10pm 7 days/week, no MBBS/registration published — the classic Unani hakim-style sexology setup; no degree verifiable so confidence low.	low
17579230641644407595	Dr. Poosha Darbha	Hyderabad	Non-medical	PhD & M.Sc Human Genetics (Andhra University); Fellow, Council of Sex Education & Parenthood Intl; life member IASECT	Erragadda / Theegapur, Hyderabad	Primary provider holds only a PhD/M.Sc in Human Genetics and works as a sexologist-counsellor with no registrable medical degree (no MBBS/MD/BAMS/BHMS/BUMS), so classified Non-medical.	high
15125593610800850710	Khaled Sexual Clinic	Hyderabad	Thin	Unknown / not findable	Hyderabad (specific locality not determinable)	No website, Practo/Justdial/Lybrate/Google listing, named provider, or medical degree could be found for this exact clinic despite multiple targeted searches; unverifiable competitor. Naming pattern loosely resembles Hyderabad's Muslim-run Unani sexual clinics but no branding or degree confirmed for this specific clinic.	low
10558277788118407313	Rahi Ayurvedic Unani Clinic Sex Specialist	Hyderabad	Ayurvedic	Not found (likely BAMS/Ayurveda-Unani practitioner; no named doctor or degree located online)	Hyderabad	"No individual doctor or website found, but the clinic's own branding explicitly labels it ""Ayurvedic Unani"" — Ayurveda named first, so mapped to Ayurvedic (AYUSH, non-allopathic)."	low
16259860159774403916	Dr. S A Kumar( Gandhamguda Hyderabad)	Hyderabad	Ayurvedic	BAMS (likely; unconfirmed)	Gandhamguda, Rajendra Nagar, Hyderabad	"No verifiable website/profile found for this exact name, but recurring directory signals point to a BAMS-qualified sexology (""gupt rog"") practitioner in the Gandhamguda/Rajendra Nagar area, mapping to Ayurvedic."	low
2194165841032192716	Mamta Sexologist Clinic Ayurvedic	Hyderabad	Ayurvedic	BAMS (Ayurvedic sexologist; Dr. B.K. Roy)	ECIL Cross Road, Hyderabad	"Clinic name and branding explicitly say ""Ayurvedic"" and it offers non-surgical Ayurvedic piles/fistula/sexual-health treatment, consistent with a BAMS Ayurvedic practitioner."	medium
15789125418892557495	Sexayush Clinic | Best Sexologist in Hyderabad | Sexual health & STD/STI / SEX Doctor	Hyderabad	Thin	None found — no doctor named and no medical degree disclosed on the clinic website or any directory	RTC Colony, LB Nagar, Hyderabad	Generic sexologist/gupt-rog clinic with an unnamed provider and no findable registrable degree; templated website lists implausible departments, making it a weak unverifiable competitor.	medium
10188647768130870913	Dr.Babji Sexual Health Clinic	Hyderabad	Thin	Not found	Hyderabad (unconfirmed)	"No own website, doctor profile, or registrable medical degree found for ""Dr.Babji"" across Google/Practo/Justdial/Lybrate; searches only surface a different doctor (Dr. Bala Ram Babu), making this a weak, unverifiable competitor listing."	medium
16841980375351174830	Eros Wellness Clinic	Mumbai	Thin	None found — no named doctor or degree listed on any source	Borivali West, Mumbai	"Generic sexologist ""wellness clinic"" with no findable practitioner name or registrable medical degree; own website domain is dead and directories list only ""Owner"" with no credentials, and branding does not indicate Ayurvedic/Unani/Homeopathic."	medium
5397579908091452786	Cosmetology and Sexology Clinic	Mumbai	Thin	Not found	Mumbai (unspecified)	"Generic ""Cosmetology and Sexology Clinic"" name in Mumbai has no own website and no findable named provider or registrable medical degree across web/Practo/Justdial; only unrelated same-name Setu clinic (Pune) surfaces."	medium
13337845570004209098	Dr.Prabhu Vyas	Mumbai	Non-medical	M.S. in Sexology, Ph.D. in Sexology, PG Diploma in Psychological Counselling	Parel / Lal Baug, Mumbai	"Provider holds only sexology and counselling diplomas (M.S./Ph.D. Sexology, PG Diploma Counselling) and is listed as a psychologist/therapist with the ""Mr."" prefix — no registrable medical degree found."	high
10110849801447545237	Sexoloist in Thane	Mumbai	Thin	None found	Thane West, Thane (Mumbai region)	"""Sexoloist in Thane"" is a generic directory-style listing headline (misspelled ""sexologist in Thane""), not a distinct branded clinic; no own website, named primary provider, or registrable degree ties to this exact entity — the real Thane sexologists surfaced are separate, distinct practices."	medium
4025581918226598572	Sexologist Dr. Prabhu Vyas	Pune	Non-medical	MS (Sexuality & Sexual Counselling / Sexology, Kuvempu Univ), Postgraduate Diploma in Sexology, Ph.D. Sexology, PGDPC (Diploma in Psychological Counselling)	Parel, Mumbai (primary listing; not Pune)	"Listed on Practo/Timesmed as ""Mr."" / counselling-psychologist with only sexology diplomas and a non-medical MS/PhD in Sexology plus a counselling diploma — no registrable medical degree (MBBS/BAMS/BHMS/BUMS), so Non-medical."	high
13542764715291470926	DR VIVEK BILLAMPELLY @ RUCHA CLINIC	Pune	Allopathic	DNB - Family Medicine (Modern Medicine practitioner); + Certificate Course in Psychiatry & Sexual Medicine, MS Counselling & Psychotherapy (Dr. Ashwini Billampelly, co-practitioner)	Kondhwa, Pune (OPP Konark Pooram, near New Naaz Cafe)	Rucha Clinic is explicitly a Modern Medicine (allopathic) sexology practice; primary providers hold DNB Family Medicine, a registrable allopathic degree, with no Ayurvedic/Homeopathic/Unani branding.	medium
6688998463165375346	Medikon Sexual Health Care Center - Sex Psychologists | Sexologist | Sex Counselling Doctors in Gajuwaka / Vizag	Visakhapatnam	Non-medical	M.S (Sexuality), P.G.D.C.P, Dip. in A.V.R., C.A.F.E. (Dr. Pilla V.K. Durga Rao, Consultant Sexologist)	Gajuwaka, Visakhapatnam	Provider holds only sexuality/counselling-psychology diplomas (M.S Sexuality, PGDCP) with no registrable medical degree (no MBBS/MD/BAMS/BHMS), so classified Non-medical.	high
1807732225219552705	Dr. C. Rogers Memorial	Visakhapatnam	Non-medical	MS (Sexuality), M.Sc (Psychology), PGDGC, DAFE (AIDS & Family), PGDEM, CPH — Dr. B. R. Murthy	Maharani Peta, Visakhapatnam	Provider Dr. B. R. Murthy is a psychologist/sex-therapist (M.Sc Psychology + counselling diplomas, MS-Sexuality); no MBBS or registrable medical degree on the clinic's own website.	high
7163616557541776281	Medi Life Health Care - Sexologist Clinic	Bangalore	Allopathic	MBBS (Dr. Akheel) — website: evidence-based modern medical	HBR Layout (Spencer Road / Sampangiram Nagar), Bangalore	Website confirms modern/allopathic evidence-based practice; prior search found MBBS. (overrode auto Unani per manual website check)	high
6422296008683781109	Dr Paras Shah	Ahmedabad	Allopathic	MBBS, FAACS (American Academy of Clinical Sexologists)	Bopal, Ahmedabad	Primary doctor holds MBBS (registrable allopathic degree) plus American sexology fellowships; practices as a clinical sexologist.	high
5735824494813292135	Dr. Tejas Patel	Ahmedabad	Allopathic	MBBS, MD/DPM (Psychiatry)	Nava Vadaj	Own website and Practo/1mg confirm Dr. Tejas Patel is MBBS + DPM/MD Psychiatry (neuropsychiatrist practicing as sexologist) — registrable allopathic medical degrees.	high
4889228697622662830	Dr Kalrav mistry	Ahmedabad	Allopathic	MBBS (Smt. NHL Municipal Medical College, Ahmedabad, 2010), MD Psychiatry (Gujarat University, 2014)	Satellite / Ellisbridge, Ahmedabad	Own website and Practo confirm the primary doctor holds MBBS and MD (Psychiatry), registrable allopathic medical degrees.	high
1649263239085051565	Dr. Amit Tak	Aurangabad	Allopathic	MBBS, MD (Psychiatry)	Sudarshan Nagar, TV Center, Hudco, Jalna Road	Neuropsychiatrist at Man Shanti Clinic listed on Lybrate/Bajaj/Justdial with MBBS + MD Psychiatry, a registrable allopathic degree.	high
4052205770893064816	Namoh Clinic	Bhopal	Ayurvedic	BAMS	Hoshangabad Road / Baghmugalia (Narmadapuram Road), Bhopal	Primary doctor Dr. Abhishek Saxena holds a BAMS degree and the clinic brands itself as authentic Ayurvedic sexual-wellness therapy (PE/ED/nightfall).	high
4502656209532656499	Dr. Patidar's Clinic	Bhopal	Homeopathic	BHMS	Arera Colony	"Primary doctor Dr. Sunil Patidar holds BHMS and runs ""Patidar Homoeopathic Clinic""; both degree and branding are homeopathic."	high
17764774811424844392	Rana Clinic	Chennai	Unani	BUMS (Unani sexologist — Dr. Gulam)	Purasawalkam, Chennai	"Justdial lists ""Dr. Gulam (Rana Clinic)"" under Unani Sexologist Doctors; primary doctor practices Unani/herbal men's sexual-health treatment."	medium
10792462736540873178	KOVAI HEALTH CENTER & NATURE CURE FERTILITY CENTER. (Fertility & Sexology)	Coimbatore	Ayurvedic	BAMS, PhD	Gandhipuram, Coimbatore	"Own website (about-us) lists primary doctor Dr. A. Jalaludheen as BAMS, PhD — registrable Ayurvedic degree, matching the ""Nature Cure / herbal treatment"" branding."	high
12087943491588286599	Dr Hameed Ibrahim Khokar - Ayurveda Centre	Coimbatore	Ayurvedic	BAMS, DNHE, FRAS (London)	Coimbatore	"Primary doctor Hameed Ibrahim Khokar holds BAMS (registered under Travancore-Cochin Medical Practitioners Act, Reg. 9257) plus DNHE/FRAS; clinic branded ""Khokar Ayurveda Centre"" — clearly Ayurvedic."	high
14089267040099428046	Dr. Tejas Patel Gandhinagar	Gandhinagar	Allopathic	MBBS, DPM (Psychiatry)	Kudasan, Gandhinagar	Dr. Tejas Patel holds MBBS and DPM (Psychiatry), both registrable allopathic medical degrees; practices as psychiatrist/sexologist.	high
12792512911435101222	મનમય | Online consultation for Psychiatrist and sexologist	Gandhinagar	Allopathic	MBBS, MD (Psychiatry)	Kudasan, Gandhinagar	Primary doctor Dr. Kinjal Chauhan holds MBBS and MD (Psychiatry), registrable allopathic degrees.	high
9666389795849812944	Dr Chirag Bhandari	Jaipur	Allopathic	MBBS, MS (General Surgery); Fellowship in Andrology (UCLH, London), FECSM	Gopalpura, Jaipur (IASH - Institute of Andrology & Sexual Health)	Founder Dr Chirag Bhandari holds MBBS + MS General Surgery with andrology fellowships — registrable allopathic degrees.	high
16770414530553706563	Dr. R GROVER	Jaipur	Ayurvedic	BAMS, B.Pharma, Fellowship in Sex Education & Parenthood (Intl)	Chandpole Bazar (Sansar Chandra Road, Jalupura), Jaipur	Dr. R Grover's primary registrable medical degree is BAMS (Kanpur University), an Ayurvedic degree, per own site drrgrover.in and Practo.	high
3774183175215590826	Dr Erande's | Men & Women's Sexual Health & Sex Treatment Clinic	Mumbai	Ayurvedic	BAMS (Bachelor of Ayurvedic Medicine & Surgery), plus fellowships/certificates in Sexology (M-CSEPI)	Dadar West, Mumbai	Primary doctor Dr. Sanjay Erande (Director/Founder) holds a BAMS degree per Practo and the clinic's own site; BAMS maps to Ayurvedic.	high
8704074584205903768	Dr Sagar mundada	Mumbai	Allopathic	MBBS, MD (Psychiatry)	Powai/Mahim, Mumbai	Dr Sagar Mundada holds MBBS (Grant Medical College/JJ Hospital, Mumbai) and MD Psychiatry — registrable allopathic medical degrees.	high
2347475581714786605	Dr. Furkan Health Clinic	Mumbai	Unani	BUMS (Unani physician) — inferred; not explicitly confirmed in listings	Kalyan West (Jalal Building, Shivaji Path), Kalyan, Greater Mumbai	Justdial categorizes the clinic under Unani medicine and gupt-rog/sexologist services; doctor name fits the standard BUMS Unani sexology-clinic profile, though the exact degree letters were not printed in directory listings.	medium
17021969113569185219	Dr. Hitesh Shah	Mumbai	Homeopathic	BHMS (Homeopathy), plus Diplomate American Board of Sexology	Kandivali West, Mumbai	Primary doctor holds BHMS (CMP Homeopathic Medical College, 1989); listed as Homeopath/Sexologist, so registrable degree maps to Homeopathic.	high
2639261648788165099	Dr. Maratha Clinic	Mumbai	Ayurvedic	BAMS	Oshiwara, Mumbai	"Clinic's own website brands it as ""India's Trusted Ayurvedic Sexologist / Gupt Rog"" chain and its doctors hold BAMS (e.g. Dr. Mohd. Furqan, BAMS), an Ayurvedic degree."	high
2511534306665385509	Dr. Bhushan Patil's sexology Clinic	Mumbai	Allopathic	MBBS, MD (Psychiatry) — sexology practice (alternatively the MBBS/MS/MCh Urologist of same name)	Mumbai (Thane West area)	Primary doctor holds registrable allopathic degrees (MBBS with MD Psychiatry, or MBBS/MS/MCh Urology), so the clinic is allopathic sexology.	medium
16596794731817213942	Prerana Psychiatry & Gynaecology Hospital	Mysuru	Allopathic	MD (Psychiatry, NIMHANS) — Dr. H.S. Venkatesh, Chief Advisor; gynaecology by Dr. Madhuri (MBBS/MS/DGO)	Kuvempunagar, Mysuru	Own website (preranahospitalmysore.com) lists NIMHANS gold-medalist psychiatrist Dr. H.S. Venkatesh (MD Psychiatry) plus IVF/obstetric gynaecologist Dr. Madhuri — registrable allopathic medical degrees.	high
16027924621207471917	Dr Hameed Ibrahim Khokar | Kerala Ayurveda - Sexologist & Infertility Specialist	Mysuru	Ayurvedic	BAMS (also DNHE, FRAS)	Bannimantap, Mysuru	Primary doctor holds BAMS (Bachelor of Ayurvedic Medicine and Surgery) and brands as Kerala Ayurveda sexology/infertility specialist, registered under Travancore-Cochin Medical Practitioners Act.	high
1950015451601529360	Suchitra Clinic	Nagpur	Thin		Itwari, Nagpur	No primary doctor name or degree is findable on any directory (no own website, Practo/Justdial/Healthfrog list it only as a generic sexologist clinic).	low
17100284541707645988	Dr. Benade's Sexologist Pune and Male Infertility Treatments	Pune	Ayurvedic	MD (Ayurveda)	Baner	"Primary doctor Dr. Shekhar Benade holds an MD in Ayurveda and practices at ""Vasudha Ayurveda Clinic,"" a registrable BAMS/Ayurvedic-track degree."	high
14441535703924328987	Dr. Nanal	Pune	Homeopathic	BHMS, MCSEPI	Somwar Peth, Pune	Primary doctor Dr. Satyan Nanal at Chaitanya Clinic holds BHMS (Homeopathy, DSHMC Pune 2002) plus a sexology diploma (MCSEPI), so the registrable medical degree is homeopathic.	high
8799957117470795723	Dr. Nilesh Naphade	Pune	Allopathic	MBBS, MD/DNB (Psychiatry), sexologist/psychiatrist	Kothrud (Atman Sexual Wellness Clinic), Pune	Own website and Lybrate list Dr. Nilesh Naphade as MBBS, MD/DNB Psychiatry — a registrable modern-medicine degree.	high
4732503809774426311	Doonveda Healthcare Centre	Pune	Ayurvedic	Not individually disclosed (likely BAMS); clinic self-brands as Ayurvedic sexologist practice	Wadgaon Sheri / Wakad / Hinjewadi, Pune (multi-branch)	"Own website explicitly brands it an ""Ayurvedic Sexual Health Clinic"" offering Ayurveda + Hijama cupping for sexual disorders; name ""DoonVeda"" and messaging are Ayurvedic."	high
7853437167177037379	City Care Clinic	Raipur	Ayurvedic	BAMS (Ayurveda), PGDY	Raipur Ganj / Station Road (beside Simran Heritage Hotel, near Railway Station Chowk)	Primary doctor Dr. Yugendra Chandrakar holds BAMS (Ayurveda) + PGDY, and the clinic explicitly brands itself as an Ayurvedic sexology clinic.	high
7572128748087881167	Divya Arogyam Health Clinic - Best Sexologist in Ranchi/Top Sexologist in Ranchi	Ranchi	Ayurvedic	BAMS, MD (Ayurveda), Fellowship in Sexology	Main Road / Mahatma Gandhi Main Road, Upper Bazar, Ranchi	Primary doctor Dr. J N Divya holds BAMS + MD (Ayurveda) and the clinic brands itself as an Ayurvedic clinic (divyaarogyam.co.in).	high
4554089511203612240	Shivay Clinic	Ranchi	Ayurvedic	BAMS (Ayurvedic practitioner; degree not explicitly listed, inferred from Ayurvedic practice)	Kokar (Ayodhyapuri, Lohardaga Road), Ranchi	"Clinic is explicitly branded as an ""Ayurvedic sex clinic"" with primary doctor Dr. Vikash described as having 10 years in Ayurvedic medicine, indicating a BAMS/Ayurvedic practice."	high
14201562121995969775	Kalptaru Ayurvedam	Surat	Ayurvedic	BAMS	Adajan (also Varachha, Udhna, Vesu), Surat	"Own website names lead doctor Dr. Chintan Dudhat (BAMS) and brands as ""Kalptaru Ayurvedam"" Ayurvedic sexology clinic."	high
1038596527826198185	Dr. Sumit Shakya | Psychiatrist In Manjalpur, Vadodara | Antarman Neuropsychiatry Clinic and Deaddiction Centre	Vadodara	Allopathic	MBBS, MD (Psychiatry)	Manjalpur, Vadodara	Dr. Sumit Shakya holds MBBS and MD (Psychiatry), registrable allopathic medical degrees.	high
17354289549452366834	Dr. Devashish Palkar	Vadodara	Allopathic	MD (Psychiatry), PGDCH	Vadodara (Palkars' Skin & Mind Clinic)	Primary doctor holds MD Psychiatry, a registrable allopathic postgraduate medical degree.	high
8429260743687643967	Ristar wellness clinic	Bangalore	Unani		Jayanagar	site markets Unani+Ayurvedic sexology, hakim tradition	low
2647598301389196335	Dr. Bagalkot Sexologist	Hubli	Unani		Hubli	Dr Bagalkot degree BUMS (Unani); Ashwa Ayurvedic & Unani Center	high
10415224175405117409	Care and Cure	Hyderabad	Unani		Banjara Hills	Dr Khamruddin Unani college (Nizamia Tibbi); Unani herbal practice	high
16707844221855998678	Khokar Dispensary	Mangaluru	Ayurvedic		Hampankatta	Khokar chain = Kerala Ayurveda (BAMS), Travancore Ayurveda act	high
17605070039747084078	Unique Multicare Clinic	Nashik	Ayurvedic		Nashik	Listed as Unique Multicare Ayurvedic Clinic; BAMS, VIVA ayur products	high
